"@timestamp","email_message_id","threat_tactic_name","threat_indicator_reference","abnormal_security_threat_summary_insights","abnormal_security_threat_remediation_status","abnormal_security_threat_auto_remediated"
"Aug 14, 2025 @ 18:27:28.000","<219d01dc0cf5$409cf020$c1d6d060$@gmail.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7739355594880237420","Unusual Sender, Unusual IP Geolocation, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 18:12:06.000","<7676404135312306227303@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-6434398796277638469","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:05.000","<76764041353122455628360@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7699516526191103892","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:04.000","<76764041353122455628360@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7300407863612583686","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:04.000","<76764041353122455628360@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/3195158267530978318","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:04.000","<76764041353122455628360@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-6789426248269200580","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:01.000","<7676404135312306227303@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-7208601480791062667","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:01.000","<7676404135312306227303@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1302487887894594330","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:12:01.000","<7676404135312306227303@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/4228899492607576556","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 18:02:44.000","<NYC7K5QTXQU4.Y6RUHBL6H2WM@bouncing.oce.choice.com.au>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8025178903873425089","Unusual Sender, Invisible characters found in Email, Unusual Sender Domain, Personal Information Theft, Suspicious Financial Request, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 18:01:49.000","<g6Gcc6UARFipCHn2m9aBIQ@geopod-ismtpd-8>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6742854449792387823","Unusual Sender, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 17:58:14.000","<CA+4u7Me-TYiQccwqoeZyTRSF1mZ8BWNh164iTMx=ULro1zK-Yw@mail.gmail.com>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/3233855960708256783","Unusual Sender, Abnormal Recipient Pattern, Personal Information Theft, Suspicious Financial Request, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:58:14.000","<CA+4u7Me-TYiQccwqoeZyTRSF1mZ8BWNh164iTMx=ULro1zK-Yw@mail.gmail.com>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1813825924205145627","Unusual Sender, Abnormal Recipient Pattern, Personal Information Theft, Suspicious Financial Request, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:51:11.000","<c18364bb-034b-15a7-947a-ca5211571b03@fiveight.com>",Other,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7984177639815169177","Unusual IP Geolocation, Uncommon Attachment Type, Abnormal Recipient Pattern, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 17:51:11.000","<c18364bb-034b-15a7-947a-ca5211571b03@fiveight.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1417597157472031497","Unusual IP Geolocation, Uncommon Attachment Type, Abnormal Recipient Pattern, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 17:47:38.000","<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6769678010465681958","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 17:47:38.000","<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1274826487129284750","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 17:47:38.000","<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-7351482781038368635","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 17:47:38.000","<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7220450585275409741","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 17:43:23.000","<1755157396338.d2b5e39f-7563-481d-8c7e-43c279986f6b@notifybf2.hubspot.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-4834611785781612564","Unusual Sender, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 17:23:38.000","<OS8PR01MB69051D4395C2EF0966C07D87EE35A@OS8PR01MB6905.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/5987686096122694148","Unusual Sender, Abnormal Recipient Pattern",Remediated,false
"Aug 14, 2025 @ 17:17:26.000","<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-116082153702681127","Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 17:17:26.000","<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-936543051976705239","Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 17:17:26.000","<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-4956927501111959408","Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 17:17:26.000","<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8104415440776356120","Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 17:17:22.000","<20250814151711451464@mail.hgpuygjbma.asia>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/780233899410430704","Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:17:21.000","<20250814151711451464@mail.hgpuygjbma.asia>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6452273315676678927","Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:17:20.000","<20250814151711451464@mail.hgpuygjbma.asia>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-3246399954900624962","Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:17:20.000","<20250814151711451464@mail.hgpuygjbma.asia>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/4012084257659883277","Unusual Sender, Unusual IP Geolocation, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:17:20.000","<20250814151711451464@mail.hgpuygjbma.asia>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/9109106334177030253","Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:14:57.000","<6a1f9911c0ffe6c7e88ce5a9d23b7de7@eliteconferenceevents.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7219503574418151076","Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Unusual Sender Domain, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 17:08:50.000","<43EACCF08EFE451F9EB8C99F19FEB1BF@PS1PPFCF7B0743FCF7C14C.apcprd43.prod.outlook.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1797917987333391596","Unusual IP Geolocation, Suspicious Financial Request, Unusual Sender, Unusual Sender Domain, Suspicious Link, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 17:01:47.000","<284399680000516130098@win86150>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-412232672136911653","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 16:50:34.000","<76764041353122152431476@WIN-7075HBCK1KR>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2797482257857404769","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 16:42:31.000","<18c9eb165e022ca65a01aca6a595882a@landconferences.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8406716645023551529","Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 16:40:01.000","<fe45bef8a8f4df9a510cd9e7ac610c7b@peoplebrconnectassembly.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/7511870906390938828","Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 16:40:00.000","<fe45bef8a8f4df9a510cd9e7ac610c7b@peoplebrconnectassembly.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-6075505219509691577","Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 16:34:55.000","<20250814143445531535@mail.hgpuygjbma.asia>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-644490736585271483","Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 16:28:12.000","<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-6093845099812137993","Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:28:11.000","<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2064222883596427490","Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:28:11.000","<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1959289985219056117","Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:28:11.000","<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2850405145819383577","Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:27:22.000","<e9686650-7b70-sl58-47b6-8744-388823b70975@gtmpronow.co>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8144520383973856189","Unusual Sender, Unusual IP Geolocation",Remediated,false
"Aug 14, 2025 @ 16:24:00.000","<29ebd217-127d-4273-a0e9-4d17a6ac6f34@atriumhr.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-5352988811122200687","Unusual Sender, Suspicious Link, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:23:56.000","<29ebd217-127d-4273-a0e9-4d17a6ac6f34@atriumhr.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-7282912807633994657","Unusual Sender, Suspicious Link, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:21:44.000","<20250814082038.C44D62014A532059@grr.la>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-3493267161086540354","Suspicious Link, Unusual Sender, Unusual Sender Domain",Remediated,false
"Aug 14, 2025 @ 16:09:23.000","<284399680000822022178@win86150>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/5378657645260851101","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 16:09:07.000","<2843996800002485331588@win86150>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2518269302275855187","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 16:05:54.000","<1MDMzC-1uueI305P4-00BNlD@smtp.web.de>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/3386747855137034968","Unusual IP Geolocation, Unusual Sender, Suspicious Financial Request, Potential Payroll Fraud, Uncommon Attachment Type",Remediated,false
"Aug 14, 2025 @ 15:52:59.000","<SEZPR02MB7513F7F604E570C2D6FA1FEA9B35A@SEZPR02MB7513.apcprd02.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1630168064961351654","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 15:52:59.000","<SEZPR02MB7513F7F604E570C2D6FA1FEA9B35A@SEZPR02MB7513.apcprd02.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/5044587926761548101","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 15:50:48.000","<20250814111926.1FD4DFBF735DDC2B@gmail.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/8490311003537231327","Unusual Sender, Unusual IP Geolocation, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 15:32:47.000","<TY0PR01MB5791DF6FB9B17577721E9731BD35A@TY0PR01MB5791.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1571793534730365015","Abnormal Recipient Pattern, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 15:23:45.000","<2843996800003179222668@win86150>",Other,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-7707418422828818934","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 15:23:43.000","<2843996800002349619682@win86150>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8760583012460397495","Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 15:13:57.000","<2a6001dc0cda$3528c360$9f7a4a20$@live>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-4416862611002002488","Unusual IP Geolocation, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 15:13:57.000","<2a6001dc0cda$3528c360$9f7a4a20$@live>",Scam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8510040332765264914","Unusual IP Geolocation, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 15:09:26.000","<62834392805612032231@win103069>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8026906044892625354","Unusual Sender, Unusual IP Geolocation",Remediated,false
"Aug 14, 2025 @ 15:09:26.000","<62834392805612032231@win103069>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8539572312939083435","Unusual Sender, Unusual IP Geolocation",Remediated,false
"Aug 14, 2025 @ 15:08:30.000","<c897779c4a2502b4effc88e0f35fc37b41dd6169@liang.asia>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2543618308889867051","Unusual IP Geolocation, Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 15:07:22.000","<628343928056685831464@win103069>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/4731455220156059309","Unusual IP Geolocation, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 14:56:24.000","<cae382edf91c45ef9c7152b06702e0d9@eumail.docusign.net>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/250167685699649959","Bitcoin Topics, Low Context File Sharing Link(s), Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 14:52:34.000","<1M6YJ1-1ufYC92xsf-007gUk@smtp.web.de>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-1664819124277529750","Unusual IP Geolocation, Uncommon Attachment Type, Unusual Sender, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 14:28:00.000","<175514567587.546190.10990077504484249818@way9-mmsc-re2>",Reconnaissance,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2434202698056605228","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 14:18:19.000","<20250814121814807050@mail.hgpuygjbma.asia>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6485751255737856756","Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 14:17:30.000","<CAGD7Ov4NOML1=UPWsin6NhD03aohzqpUN2uTrZtWy_OOcqPqqg@mail.gmail.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/4085212321482203701","Suspicious Link, Unusual Sender, Unusual IP Geolocation",Remediated,false
"Aug 14, 2025 @ 14:17:14.000","<CAGD7Ov6C4RNTtfn3VxzFVfYM=PtuTuefxwms2orA48cJaX-wnw@mail.gmail.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/6370175411573059545","Suspicious Link, Unusual Sender, Unusual IP Geolocation",Remediated,false
"Aug 14, 2025 @ 14:14:34.000","<CAGD7Ov6dyE_w7qMqZJvp-MR6wQwh3V-juhc4S=rODJZfYcfNxw@mail.gmail.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8400158602265026882","Suspicious Link, Unusual Sender, Unusual IP Geolocation",Remediated,false
"Aug 14, 2025 @ 14:13:47.000","<236833866031@iZanuum2yrjwluZ>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-6464951823359282031","Unusual Sender, Unusual IP Geolocation, Uncommon Attachment Type, Unusual Sender Domain, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 14:11:46.000","<07c7c6e8-1b57-bc2e-46b7-28700a63dc2d@opt-ai.kr>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-9101836590627742390","Unusual IP Geolocation, Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 14:08:07.000","<20250814113240675482@mail.hgpuygjbma.asia>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1117599832400516519","Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 14:06:18.000","<9d7791b3-f37e-sl34-4b86-a3e4-d877ca9dac68@scalegtmclub.co>",Other,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-591911383692906512","Unusual Sender",Remediated,false
"Aug 14, 2025 @ 14:02:51.000","<AS8PR05MB7718C981DD75DCE18B185CC3C435A@AS8PR05MB7718.eurprd05.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/5581181609400144360","Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Suspicious Link, Unusual Sender Domain, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 13:52:57.000","<20250814105148.089F939A6F397EC2@fluuxgroup.sale>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1751938795657249815","Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain, Suspicious Link, Suspicious Financial Request, Unusual Reply To",Remediated,false
"Aug 14, 2025 @ 13:49:20.000","<PYNClnBdSbmM466xK5ft7g@geopod-ismtpd-5>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-7521269116988342887","Unusual Sender, Suspicious Link, Suspicious Financial Request",Remediated,false
"Aug 14, 2025 @ 13:43:02.000","<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-4778591870200894477","Unusual Sender, Abnormal Recipient Pattern",Remediated,false
"Aug 14, 2025 @ 13:43:02.000","<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1905746661525875990","Unusual Sender, Abnormal Recipient Pattern",Remediated,false
"Aug 14, 2025 @ 13:43:02.000","<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/5666217267936923954","Unusual Sender, Abnormal Recipient Pattern",Remediated,false
"Aug 14, 2025 @ 13:43:02.000","<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/2428371072994979017","Unusual Sender, Abnormal Recipient Pattern",Remediated,false
"Aug 14, 2025 @ 13:41:56.000","<OSCP286MB497258D2D74BBDC59EF56420BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/-8931107495349429472","Abnormal Recipient Pattern, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 13:37:39.000","<KL1PR01MB54467853401D0A30F54F448EA335A@KL1PR01MB5446.apcprd01.prod.exchangelabs.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/1061833629730360382","Abnormal Recipient Pattern, Unusual Sender",Remediated,false
"Aug 14, 2025 @ 13:28:21.000","<1755142092517.87793c2a-d7d3-4dbb-a99f-a6a641fb10b7@notifybf2.hubspot.com>","Phishing: Credential","https://portal.abnormalsecurity.com/home/threat-center/remediation-history/138246244106367584","Unusual Sender, Personal Information Theft",Remediated,false
"Aug 14, 2025 @ 13:15:38.000","<SYBPR01MB5289D22C60C61D7D2C22417B8635A@SYBPR01MB5289.ausprd01.prod.outlook.com>",Spam,"https://portal.abnormalsecurity.com/home/threat-center/remediation-history/3204749369911242480","Unusual Sender",Remediated,false
