email_message_id,threat_tactic_name,abnormal_security_threat_summary_insights,abnormal_security_threat_remediation_status
<CA+4u7Me-TYiQccwqoeZyTRSF1mZ8BWNh164iTMx=ULro1zK-Yw@mail.gmail.com>,Scam,"Unusual Sender, Abnormal Recipient Pattern, Personal Information Theft, Suspicious Financial Request, Unusual Reply To",Remediated
<CA+4u7Me-TYiQccwqoeZyTRSF1mZ8BWNh164iTMx=ULro1zK-Yw@mail.gmail.com>,Scam,"Unusual Sender, Abnormal Recipient Pattern, Personal Information Theft, Suspicious Financial Request, Unusual Reply To",Remediated
<c18364bb-034b-15a7-947a-ca5211571b03@fiveight.com>,Other,"Unusual IP Geolocation, Uncommon Attachment Type, Abnormal Recipient Pattern, Unusual Sender",Remediated
<c18364bb-034b-15a7-947a-ca5211571b03@fiveight.com>,Phishing: Credential,"Unusual IP Geolocation, Uncommon Attachment Type, Abnormal Recipient Pattern, Unusual Sender",Remediated
<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>,Spam,Unusual Sender,Remediated
<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>,Spam,Unusual Sender,Remediated
<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>,Spam,Unusual Sender,Remediated
<KL1PR01MB6197002A9DA8082D598DF6CC8435A@KL1PR01MB6197.apcprd01.prod.exchangelabs.com>,Spam,Unusual Sender,Remediated
<1755157396338.d2b5e39f-7563-481d-8c7e-43c279986f6b@notifybf2.hubspot.com>,Phishing: Credential,"Unusual Sender, Personal Information Theft",Remediated
<OS8PR01MB69051D4395C2EF0966C07D87EE35A@OS8PR01MB6905.apcprd01.prod.exchangelabs.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated
<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated
<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated
<MN2PR18MB3512F054FA7C710D5F856F939135A@MN2PR18MB3512.namprd18.prod.outlook.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Suspicious Financial Request",Remediated
<20250814151711451464@mail.hgpuygjbma.asia>,Scam,"Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<20250814151711451464@mail.hgpuygjbma.asia>,Scam,"Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<20250814151711451464@mail.hgpuygjbma.asia>,Scam,"Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<20250814151711451464@mail.hgpuygjbma.asia>,Scam,"Unusual Sender, Unusual IP Geolocation, Email Authentication, Unusual Reply To",Remediated
<20250814151711451464@mail.hgpuygjbma.asia>,Spam,"Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<6a1f9911c0ffe6c7e88ce5a9d23b7de7@eliteconferenceevents.com>,Spam,"Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Unusual Sender Domain, Personal Information Theft",Remediated
<43EACCF08EFE451F9EB8C99F19FEB1BF@PS1PPFCF7B0743FCF7C14C.apcprd43.prod.outlook.com>,Phishing: Credential,"Unusual IP Geolocation, Suspicious Financial Request, Unusual Sender, Unusual Sender Domain, Suspicious Link, Unusual Reply To",Remediated
<284399680000516130098@win86150>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft",Remediated
<76764041353122152431476@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<18c9eb165e022ca65a01aca6a595882a@landconferences.com>,Spam,"Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Personal Information Theft",Remediated
<fe45bef8a8f4df9a510cd9e7ac610c7b@peoplebrconnectassembly.com>,Spam,"Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Personal Information Theft",Remediated
<fe45bef8a8f4df9a510cd9e7ac610c7b@peoplebrconnectassembly.com>,Spam,"Unusual IP Geolocation, Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Personal Information Theft",Remediated
<20250814143445531535@mail.hgpuygjbma.asia>,Spam,"Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated
<CAKncuS-8XBSAcvy+YYM-wYpuXvsq3g6+qoegtBLLR86Sd88jqg@mail.gmail.com>,Spam,"Unusual Sender, Abnormal Recipient Pattern, Unusual Sender Domain",Remediated
<e9686650-7b70-sl58-47b6-8744-388823b70975@gtmpronow.co>,Spam,"Unusual Sender, Unusual IP Geolocation",Remediated
<29ebd217-127d-4273-a0e9-4d17a6ac6f34@atriumhr.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain",Remediated
<29ebd217-127d-4273-a0e9-4d17a6ac6f34@atriumhr.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain",Remediated
<20250814082038.C44D62014A532059@grr.la>,Spam,"Suspicious Link, Unusual Sender, Unusual Sender Domain",Remediated
<284399680000822022178@win86150>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft",Remediated
<2843996800002485331588@win86150>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft",Remediated
<1MDMzC-1uueI305P4-00BNlD@smtp.web.de>,Phishing: Credential,"Unusual IP Geolocation, Unusual Sender, Suspicious Financial Request, Potential Payroll Fraud, Uncommon Attachment Type",Remediated
<SEZPR02MB7513F7F604E570C2D6FA1FEA9B35A@SEZPR02MB7513.apcprd02.prod.outlook.com>,Spam,Unusual Sender,Remediated
<SEZPR02MB7513F7F604E570C2D6FA1FEA9B35A@SEZPR02MB7513.apcprd02.prod.outlook.com>,Spam,Unusual Sender,Remediated
<20250814111926.1FD4DFBF735DDC2B@gmail.com>,Spam,"Unusual Sender, Unusual IP Geolocation, Unusual Reply To",Remediated
<TY0PR01MB5791DF6FB9B17577721E9731BD35A@TY0PR01MB5791.apcprd01.prod.exchangelabs.com>,Spam,"Abnormal Recipient Pattern, Unusual Sender",Remediated
<2843996800003179222668@win86150>,Other,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft, Unusual Reply To",Remediated
<2843996800002349619682@win86150>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Personal Information Theft, Unusual Reply To",Remediated
<2a6001dc0cda$3528c360$9f7a4a20$@live>,Scam,"Unusual IP Geolocation, Unusual Sender",Remediated
<2a6001dc0cda$3528c360$9f7a4a20$@live>,Scam,"Unusual IP Geolocation, Unusual Sender",Remediated
<62834392805612032231@win103069>,Spam,"Unusual Sender, Unusual IP Geolocation",Remediated
<62834392805612032231@win103069>,Spam,"Unusual Sender, Unusual IP Geolocation",Remediated
<c897779c4a2502b4effc88e0f35fc37b41dd6169@liang.asia>,Spam,"Unusual IP Geolocation, Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<628343928056685831464@win103069>,Spam,"Unusual IP Geolocation, Unusual Sender",Remediated
<cae382edf91c45ef9c7152b06702e0d9@eumail.docusign.net>,Phishing: Credential,"Bitcoin Topics, Low Context File Sharing Link(s), Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<1M6YJ1-1ufYC92xsf-007gUk@smtp.web.de>,Phishing: Credential,"Unusual IP Geolocation, Uncommon Attachment Type, Unusual Sender, Suspicious Financial Request",Remediated
<175514567587.546190.10990077504484249818@way9-mmsc-re2>,Reconnaissance,Unusual Sender,Remediated
<20250814121814807050@mail.hgpuygjbma.asia>,Spam,"Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<CAGD7Ov4NOML1=UPWsin6NhD03aohzqpUN2uTrZtWy_OOcqPqqg@mail.gmail.com>,Phishing: Credential,"Suspicious Link, Unusual Sender, Unusual IP Geolocation",Remediated
<CAGD7Ov6C4RNTtfn3VxzFVfYM=PtuTuefxwms2orA48cJaX-wnw@mail.gmail.com>,Phishing: Credential,"Suspicious Link, Unusual Sender, Unusual IP Geolocation",Remediated
<CAGD7Ov6dyE_w7qMqZJvp-MR6wQwh3V-juhc4S=rODJZfYcfNxw@mail.gmail.com>,Phishing: Credential,"Suspicious Link, Unusual Sender, Unusual IP Geolocation",Remediated
<236833866031@iZanuum2yrjwluZ>,Phishing: Credential,"Unusual Sender, Unusual IP Geolocation, Uncommon Attachment Type, Unusual Sender Domain, Suspicious Financial Request",Remediated
<07c7c6e8-1b57-bc2e-46b7-28700a63dc2d@opt-ai.kr>,Phishing: Credential,"Unusual IP Geolocation, Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<20250814113240675482@mail.hgpuygjbma.asia>,Spam,"Unusual IP Geolocation, Unusual Sender, Email Authentication, Unusual Reply To",Remediated
<9d7791b3-f37e-sl34-4b86-a3e4-d877ca9dac68@scalegtmclub.co>,Other,Unusual Sender,Remediated
<AS8PR05MB7718C981DD75DCE18B185CC3C435A@AS8PR05MB7718.eurprd05.prod.outlook.com>,Spam,"Unusual Sender, Uncommon Attachment Type, Abnormal Recipient Pattern, Suspicious Link, Unusual Sender Domain, Personal Information Theft",Remediated
<20250814105148.089F939A6F397EC2@fluuxgroup.sale>,Phishing: Credential,"Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain, Suspicious Link, Suspicious Financial Request, Unusual Reply To",Remediated
<PYNClnBdSbmM466xK5ft7g@geopod-ismtpd-5>,Phishing: Credential,"Unusual Sender, Suspicious Link, Suspicious Financial Request",Remediated
<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<OSCP286MB4972E229CB3E2FFE0A685431BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<OSCP286MB497258D2D74BBDC59EF56420BA35A@OSCP286MB4972.JPNP286.PROD.OUTLOOK.COM>,Spam,"Abnormal Recipient Pattern, Unusual Sender",Remediated
<KL1PR01MB54467853401D0A30F54F448EA335A@KL1PR01MB5446.apcprd01.prod.exchangelabs.com>,Spam,"Abnormal Recipient Pattern, Unusual Sender",Remediated
<1755142092517.87793c2a-d7d3-4dbb-a99f-a6a641fb10b7@notifybf2.hubspot.com>,Phishing: Credential,"Unusual Sender, Personal Information Theft",Remediated
<SYBPR01MB5289D22C60C61D7D2C22417B8635A@SYBPR01MB5289.ausprd01.prod.outlook.com>,Spam,Unusual Sender,Remediated
<4c2VVs6rhXzTnbm@mail3.infoteq.com.au>,Other,Unusual Sender,Remediated
<meat9cmq.9dvubemuvwl@mail.soltech.com.au>,Phishing: Credential,"Unusual Sender, Unusual IP Geolocation, Suspicious Financial Request",Remediated
<e23c04e38833d026d93f80f281e3af5a@ainselworth.com>,Social Engineering (BEC),"Unusual Sender, Unusual IP Geolocation, Potential Giftcard Fraud, Unusual Sender Domain, Suspicious Financial Request",Remediated
<69164016449442017716422@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<69164016449442017716422@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<69164016449442017716422@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<69164016449442017716422@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<69164016449442017716422@WIN-7075HBCK1KR>,Spam,Unusual Sender,Remediated
<2264347598072218579@win103069>,Spam,"Unusual IP Geolocation, Unusual Sender",Remediated
<1707575973.951924.1755139359500.JavaMail.zimbra@breezelineohio.net>,Scam,"Unusual Sender, Abnormal Recipient Pattern, Unusual Reply To",Remediated
<20250814023621.7c89a679774795aa@limitlessrecruit.com.au>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<20250814102340.02832-{16250:20250814090906-16250-79}-0078644@steel.franksteelpipe.com>,Invoice/Payment Fraud (BEC),"Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<20250814102340.02832-{16250:20250814090906-16250-79}-0078644@steel.franksteelpipe.com>,Invoice/Payment Fraud (BEC),"Unusual Sender, Unusual IP Geolocation, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<20250814102340.02832-{16250:20250814090906-16250-79}-0078644@steel.franksteelpipe.com>,Other,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<20250814102340.02832-{16250:20250814090906-16250-79}-0078644@steel.franksteelpipe.com>,Other,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<a66ce6c4-0b23-42b2-aa84-f8f8736c0da4@iad4s13mta0979.xt.local>,Spam,"Unusual Sender, Invisible characters found in Email, Personal Information Theft, Unusual Reply To",Remediated
<BulkEmail.202000011388.202000979932.15e20b.2f08820ac9@shanghaikukaspecialcablecoltd-ba8a0ed6661556b.freshsales.io>,Spam,"Unusual IP Geolocation, Unusual Sender, Abnormal Email Body HTML, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<d1f919bb16074ccca0ae881768b5d02c@franceagrimer.fr>,Reconnaissance,"Unusual IP Geolocation, Abnormal Recipient Pattern, Unusual Sender, Unusual Reply To",Remediated
<BulkEmail.202000011388.202000978209.15e20b.2f088203d3@shanghaikukaspecialcablecoltd-ba8a0ed6661556b.freshsales.io>,Spam,"Unusual IP Geolocation, Unusual Sender, Abnormal Email Body HTML, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<BulkEmail.202000011388.202000977787.15e20b.2f08820227@shanghaikukaspecialcablecoltd-ba8a0ed6661556b.freshsales.io>,Spam,"Unusual IP Geolocation, Unusual Sender, Abnormal Email Body HTML, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<j-lfJfVVuzVTK0pujEJ7gg@notifications.google.com>,Spam,"Unusual Sender, Unusual Sender Domain",Remediated
<c4ebc00a-345d-411d-8540-0f64bac2c10a@iad4s13mta0991.xt.local>,Scam,"Unusual Sender, Invisible characters found in Email, Suspicious Financial Request, Unusual Reply To",Remediated
<47c80c84-5cb4-4183-87aa-5c9581c688c3@iad4s13mta0991.xt.local>,Other,"Unusual Sender, Invisible characters found in Email, Suspicious Financial Request, Unusual Reply To",Remediated
<CAKCpfzMdWy=YtcWjjkich80H3jZsJ+h4KmYr2CKXjEwNDebUWQ@mail.gmail.com>,Phishing: Credential,"Unusual Sender, Unusual Sender Domain, Suspicious Link, Unusual Reply To",Remediated
<27452217528712663730070@DESKTOP-Q0G9EOT>,Other,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Email Authentication, Unusual Reply To",Remediated
<BulkEmail.202000011388.202000976804.15e20b.2f0881fe1c@shanghaikukaspecialcablecoltd-ba8a0ed6661556b.freshsales.io>,Spam,"Unusual IP Geolocation, Unusual Sender, Abnormal Email Body HTML, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<DK7zLZuCyotr7fgabU0gDJfKsXPdf28j9FtcLb254l8@www.ellingtonjazz.com.au>,Spam,"Unusual IP Geolocation, Unusual Sender, Suspicious Financial Request",Remediated
<CA+e+TUo5exk6wOFGC5R1yCJvBmtcH15k59cceW7rXsdBwCqv=w@mail.gmail.com>,Social Engineering (BEC),"Unusual Sender, Unusual IP Geolocation",Remediated
<255029898.944584.1755134321182.JavaMail.zimbra@breezelineohio.net>,Other,"Unusual Sender, Abnormal Recipient Pattern, Unusual Reply To",Remediated
<255029898.944584.1755134321182.JavaMail.zimbra@breezelineohio.net>,Scam,"Unusual Sender, Abnormal Recipient Pattern, Unusual Reply To",Remediated
<255029898.944584.1755134321182.JavaMail.zimbra@breezelineohio.net>,Other,"Unusual Sender, Abnormal Recipient Pattern, Unusual Reply To",Remediated
<255029898.944584.1755134321182.JavaMail.zimbra@breezelineohio.net>,Other,"Unusual Sender, Abnormal Recipient Pattern, Unusual Reply To",Remediated
<CAC1pWJebaVi=MvpYU+Cw+7nk7hsy5wx_i56PrfBTNb0RrN6aag@mail.gmail.com>,Spam,Unusual Sender,Remediated
<CAC1pWJer3fcSAW=K_m+-yFx0TUKEbv2Ur1ReexuWV4TTgVVQ9A@mail.gmail.com>,Spam,Unusual Sender,Remediated
<CAC1pWJf99XDk4HRh8ipv28e1dK0ekUrb9oRVnaRwBVMSCcwKqA@mail.gmail.com>,Spam,Unusual Sender,Remediated
<1fff65532d91b28d5090aa17a3cea765e6d094fd@liang.asia>,Spam,"Unusual IP Geolocation, Unusual Sender, Suspicious Link, Unusual Sender Domain, Unusual Reply To",Remediated
<126eac0f-f6e9-4b28-852e-56a4c181360f@iad4s13mta0991.xt.local>,Other,"Unusual Sender, Invisible characters found in Email, Suspicious Financial Request, Unusual Reply To",Remediated
<b934368b-22e3-943d-723d-ea7e3ee308a3@barwonsportsacademy.org.au>,Phishing: Credential,"Unusual Sender, Unusual Sender Domain, Suspicious Financial Request",Remediated
<274522175287121908226119@DESKTOP-Q0G9EOT>,Invoice/Payment Fraud (BEC),"Unusual Sender Domain, Unusual IP Geolocation, Unusual Sender, Email Authentication",Remediated
<0bcda441-d960-sl65-4e16-ae75-b0da61586b58@from.sitesnstoresgo.com>,Spam,"Unusual IP Geolocation, Unusual Sender, Unusual Sender Domain",Remediated
<CAC1pWJcGvKUBmWZWvX+TKfxTycd6YuTTJgaAih3n=ksMjNnSow@mail.gmail.com>,Spam,"Unusual Sender, Unusual IP Geolocation",Remediated
<56e63ad2-839c-3d4b-7b0d-efcaa8e5d5bb@karmak.com>,Phishing: Credential,"Unusual IP Geolocation, Unusual Sender",Remediated
<autogen-java-bb4afd93-5362-4809-9e63-f1d04f99bc88@google.com>,Phishing: Credential,"Low Context File Sharing Link(s), Unusual Sender, Unusual Sender Domain, Suspicious Financial Request, Unusual Reply To",Remediated
<CAC1pWJc99L8PmKq=g1402SSvDgu=ur+Kg4FtWmu0Bwrzenzi1Q@mail.gmail.com>,Spam,Unusual Sender,Remediated
<caff2df8-794a-44e9-a8f9-513637049e81@trendcreate28.com>,Spam,"Unusual Sender, Suspicious Link, Unusual Sender Domain",Remediated
<CAC1pWJcbWOpPDTZxVDUhDgK14=eM=qLU_i8xZO56CqbM-_CgNQ@mail.gmail.com>,Spam,Unusual Sender,Remediated
<PNZPR01MB10701325D05DCEB2B845B95288135A@PNZPR01MB10701.INDPRD01.PROD.OUTLOOK.COM>,Spam,Unusual Sender,Remediated
<010e0198a608744d-eef57414-7aff-4eb3-ba63-f613867fb919-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<CAC1pWJdL-zRsge8CV0sqmzcTV=NbCrDYiehjTXe3b_EU+VSoHw@mail.gmail.com>,Spam,Unusual Sender,Remediated
<CAC1pWJeNjewqhZyJV9XUoTuoyAFkTgZ7eGJSD4AWoV0qji2obA@mail.gmail.com>,Spam,Unusual Sender,Remediated
<010e0198a6040f58-c3106fef-f530-4972-84c9-d061088d8455-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<CAC1pWJeCCveS5cbSidDYRkzrEuqXTkqJdkE+FcxGKd7qgdQWPg@mail.gmail.com>,Spam,Unusual Sender,Remediated
<20250814023741.8C49D422D8F61776@sydneyseoguru.services>,Spam,"Unusual Sender, Unusual Sender Domain, Unusual IP Geolocation, Suspicious Financial Request",Remediated
<175513184924.1188.2228231655131282548@chy9-mmsc-re4>,Other,"Unusual Sender, Unusual IP Geolocation",Remediated
<CAC1pWJdf+JCx9Qm-vWfZ3Vm10Y6w+LY1hRyX-R3vHS-pdKCixQ@mail.gmail.com>,Spam,"Unusual IP Geolocation, Unusual Sender",Remediated
<35f3c1b5-e5c8-429c-b1dc-7c2fae90c4dd@hiracustomtailors.com>,Spam,"Unusual Sender Domain, Suspicious Link, Unusual Sender",Remediated
<CAC1pWJdxyxeTEKBf0huOcjEUfA06GwAM8zqbPiSSexdLb3n7QQ@mail.gmail.com>,Spam,Unusual Sender,Remediated
<CAC1pWJcgG2F15=OcmRTSZ3_HZwKVgRJ-N_f3Ur2_s9uit4aeqg@mail.gmail.com>,Spam,Unusual Sender,Remediated
<CAC1pWJd0TOcqt_nCpu2gMAg9fT-R24jC7guB7QWPc2D_aTe1Kw@mail.gmail.com>,Spam,Unusual Sender,Remediated
<010e0198a5f9a43e-e0d28657-c962-4f2e-999e-c3982359cbef-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<010e0198a5f9a43e-e0d28657-c962-4f2e-999e-c3982359cbef-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<010e0198a5f6c0f7-a69fb847-9330-41d6-9ca3-2cdcb54849a8-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<010e0198a5f6c0f7-a69fb847-9330-41d6-9ca3-2cdcb54849a8-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<SL2P216MB1887F49AF642B5618C000A32E835A@SL2P216MB1887.KORP216.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<SL2P216MB1887F49AF642B5618C000A32E835A@SL2P216MB1887.KORP216.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<SL2P216MB1887F49AF642B5618C000A32E835A@SL2P216MB1887.KORP216.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<SL2P216MB1887F49AF642B5618C000A32E835A@SL2P216MB1887.KORP216.PROD.OUTLOOK.COM>,Spam,"Unusual Sender, Abnormal Recipient Pattern",Remediated
<010e0198a5f19092-e516446a-0d59-4c64-b524-93e75c7ee761-000000@ap-southeast-1.amazonses.com>,Phishing: Credential,"Unusual Sender, Suspicious Link, Unusual Sender Domain, Suspicious Financial Request",Remediated
<1311202508171718329CD193$9B0DF5786C@showbizpaint.com>,Phishing: Credential,"Unusual IP Geolocation, Suspicious Link, Unusual Sender, Unusual Sender Domain, Suspicious Financial Request",Remediated
